序号,仓库名,平台,分类,Stars,主语言,克隆地址,主页,本地目录,简介
11,mohaos/e-guarded-backend,Gitee,综合养老平台,0,SpringBoot2.7 Redis MyBatis 腾讯云COS 高德定位,https://gitee.com/mohaos/e-guarded-backend.git,https://gitee.com/mohaos/e-guarded-backend,mohaos__e-guarded-backend,E守护 后端服务 — 数字时代多样化养老服务平台后端：定位/签到/紧急呼救/药品提醒/语音转换/反诈
12,mohaos/backend-of-e-guard,Gitee,综合养老平台,0,Java SpringBoot,https://gitee.com/mohaos/backend-of-e-guard.git,https://gitee.com/mohaos/backend-of-e-guard,mohaos__backend-of-e-guard,E守护 后端（另一仓） — E守护养老服务平台后端代码
13,mohaos/e-shouhu-UI,Gitee,适老化前端,0,Vue,https://gitee.com/mohaos/e-shouhu-UI.git,https://gitee.com/mohaos/e-shouhu-UI,mohaos__e-shouhu-UI,E守护 后台管理前端 — E守护后台管理系统前端
14,ruichengtec/aged-service,Gitee,居家社区养老,0,ThinkPHP8 MySQL / 微信小程序 UniApp UView,https://gitee.com/ruichengtec/aged-service.git,https://gitee.com/ruichengtec/aged-service,ruichengtec__aged-service,居家养老智慧养老服务平台 — 老人/家属+机构+护工+管理后台四端闭环：派单/钱包/评价/结算
15,huang-zejian04/elderly_service_platform,Gitee,AI 养老,0,SpringBoot3 SpringAI DashScope Milvus MinIO / Vue3,https://gitee.com/huang-zejian04/elderly_service_platform.git,https://gitee.com/huang-zejian04/elderly_service_platform,huang-zejian04__elderly_service_platform,养老服务一体化资源整合平台 — 含 RAG 知识库问答、健康分析PDF报告、养老院信息
16,profpund/ymw-heal,Gitee,健康监护,0,Node Express Sequelize PostgreSQL / Vue Vite,https://gitee.com/profpund/ymw-heal.git,https://gitee.com/profpund/ymw-heal,profpund__ymw-heal,社区老人健康管理系统 — 老人/医生/管理员三角色，健康监测+医生预约+社区论坛
17,xbmt/ruchu-care,Gitee,居家社区养老,0,SpringBoot Vue2 / 微信小程序,https://gitee.com/xbmt/ruchu-care.git,https://gitee.com/xbmt/ruchu-care,xbmt__ruchu-care,如初社区居家养老平台 — 政府/机构/志愿者/老人四方，时间银行积分、助餐、上门服务全流程
18,cyb830/smart-elderly-care,Gitee,政府监管平台,0,SpringBoot Vue 小程序,https://gitee.com/cyb830/smart-elderly-care.git,https://gitee.com/cyb830/smart-elderly-care,cyb830__smart-elderly-care,智慧养老综合服务平台（火星先驱） — 民政端/社区端/机构端/商家端/助餐点/小程序六端
19,lioyishiki/qushi,Gitee,综合养老平台,0,UniappX Vue3,https://gitee.com/lioyishiki/qushi.git,https://gitee.com/lioyishiki/qushi,lioyishiki__qushi,颐安智护 — 养老院智能筛选+动态监护+适老化商城+亲情互动（后端）
20,kangxihuang/src-K264,Gitee,AI 养老,0,SpringBoot3 Vue3 MySQL,https://gitee.com/kangxihuang/src-K264.git,https://gitee.com/kangxihuang/src-K264,kangxihuang__src-K264,智慧养老管理系统（Transformer预警） — 引入Transformer编码器做健康体征与财务时序预测多级预警
21,kangxihuang/src-K089,Gitee,AI 养老,0,SpringBoot3 Vue3 MySQL,https://gitee.com/kangxihuang/src-K089.git,https://gitee.com/kangxihuang/src-K089,kangxihuang__src-K089,智慧养老院管理系统（DeepSeek） — 集成 DeepSeek API 智能对话+POI报表导出+JWT
22,hngcadmin/nursing_home,Gitee,养老院管理系统,0,SpringBoot2.7 Thymeleaf JdbcTemplate MySQL8,https://gitee.com/hngcadmin/nursing_home.git,https://gitee.com/hngcadmin/nursing_home,hngcadmin__nursing_home,养老院照护管理系统 — 照护计划/饮食/健康监测/异常告警/探视/费用结算，含触发器
23,jerrylzh/aged-stage-platform,Gitee,养老院管理系统,0,SpringBoot2 Vue2 Antd MyBatisPlus Shiro,https://gitee.com/jerrylzh/aged-stage-platform.git,https://gitee.com/jerrylzh/aged-stage-platform,jerrylzh__aged-stage-platform,养老驿站/养老院管理系统 — 系统/权限/老人/护工薪资/假勤/资讯/活动/健康数据/设备保修/缴费
24,beginroad/bishe,Gitee,养老院管理系统,0,SpringBoot Vue MySQL,https://gitee.com/beginroad/bishe.git,https://gitee.com/beginroad/bishe,beginroad__bishe,敬老院管理系统（毕设） — 咨询/预定/床位全景/入住签约/外出来访/事故登记/长者档案/餐饮
25,LQ-500/yikang-companion,Gitee,AI 养老,0,Uni-app Vue3 / Flask SQLAlchemy MySQL8 / Qwen,https://gitee.com/LQ-500/yikang-companion.git,https://gitee.com/LQ-500/yikang-companion,LQ-500__yikang-companion,颐康伴 老年人智能健康关怀平台 — AI用药提醒+通义千问AI陪聊+位置共享+SOS+防诈骗科普
26,r05e/elder_-monitor_-system,Gitee,AI 视觉监护,0,Python YOLOv8 TensorRT PySide6 Jetson,https://gitee.com/r05e/elder_-monitor_-system.git,https://gitee.com/r05e/elder_-monitor_-system,r05e__elder_-monitor_-system,EMS V8.0 独居老人智能姿态监护 — YOLOv8-Pose跌倒检测+Faster-Whisper/Piper离线语音核实+邮件与声光报警，Jetson边缘部署
27,r05e/EMS,Gitee,AI 视觉监护,0,PyQt5 YOLOv8 OpenCV PySerial,https://gitee.com/r05e/EMS.git,https://gitee.com/r05e/EMS,r05e__EMS,Elder Monitor System — YOLOv8 姿态检测跌倒报警+串口硬件联动
28,chen-xiaoyang1/smart_pension,Gitee,AI 视觉监护,0,Vue3 Vite TS ElementPlus / SpringBoot MySQL / YOLO,https://gitee.com/chen-xiaoyang1/smart_pension.git,https://gitee.com/chen-xiaoyang1/smart_pension,chen-xiaoyang1__smart_pension,居家养老智慧监护系统 — 深度学习跌倒检测+环境监测+远程健康+紧急呼叫联动
29,biukiu/disability-housing-system,Gitee,IoT 硬件,0,STM32F407 LVGL MPU6050 ESP8266,https://gitee.com/biukiu/disability-housing-system.git,https://gitee.com/biukiu/disability-housing-system,biukiu__disability-housing-system,无障碍智能家居与安全监护系统 — STM32+LVGL+MPU6050跌倒检测+离线语音+手势识别+ESP8266心跳保活
30,tuowei_1/zzyl-web,Gitee,适老化前端,0,Vue3 ElementPlus Vite ECharts Pinia,https://gitee.com/tuowei_1/zzyl-web.git,https://gitee.com/tuowei_1/zzyl-web,tuowei_1__zzyl-web,中州智慧养老管理系统 前端 — 老人档案/服务申请支付/实时监控/数据大屏/家属端
31,zhaoruiqing123/flask_elderly_care,Gitee,数据分析/AI,0,Flask sklearn XGBoost / Vue3 TS ECharts,https://gitee.com/zhaoruiqing123/flask_elderly_care.git,https://gitee.com/zhaoruiqing123/flask_elderly_care,zhaoruiqing123__flask_elderly_care,智慧养老服务大数据分析系统 — 健康分析+服务监控+ML需求预测(RF/XGBoost)+AI问答，可选Hadoop/HBase/Hive
32,geekit/ruchu-care,Gitee,居家社区养老,0,SpringBoot Vue2 小程序,https://gitee.com/geekit/ruchu-care.git,https://gitee.com/geekit/ruchu-care,geekit__ruchu-care,如初社区居家养老平台（另一仓） — 社区+居家养老一体化数字化管理，时间银行/助餐/上门服务
33,yijie8/digital-elderly-care-system,Gitee,AI 养老,0,uni-app Vue3 / Flask Celery MySQL / 阿里云数字人,https://gitee.com/yijie8/digital-elderly-care-system.git,https://gitee.com/yijie8/digital-elderly-care-system,yijie8__digital-elderly-care-system,数字人老人关怀系统 — 阿里云数字人+自定义音色TTS，子女端/老人端亲情化提醒与陪伴
34,elfbobo_admin_admin/KinEcho,Gitee,AI 养老,0,Electron Flask MCP,https://gitee.com/elfbobo_admin_admin/KinEcho.git,https://gitee.com/elfbobo_admin_admin/KinEcho,elfbobo_admin_admin__KinEcho,KinEcho 亲情回声 — 老人端Electron竖屏全语音+家属端H5+MCP协议AI工具(联系家属/情绪记录/日程)
35,memcacheon/zhiyi-tong,Gitee,养老院管理系统,0,SpringBoot2.5 Security MyBatisPlus Quartz / Vue3 Vite ElementPlus,https://gitee.com/memcacheon/zhiyi-tong.git,https://gitee.com/memcacheon/zhiyi-tong,memcacheon__zhiyi-tong,智颐通养老院管理系统 — 若依框架：护理管理/床位智能分配/健康评估/异常预警/统计报表
36,tuowei_1_0/zzyl,Gitee,养老院管理系统,0,RuoYi3.8.9 SpringBoot Vue2 ElementUI Redis JWT,https://gitee.com/tuowei_1_0/zzyl.git,https://gitee.com/tuowei_1_0/zzyl,tuowei_1_0__zzyl,中州智慧养老管理系统（若依版） — 老人档案/健康监测IoT/护理任务调度/在线缴费/家属互动/运营大屏
37,hepengfei-xy/ai-xhzb-vue-ai3,Gitee,适老化前端,0,Vue3 Vite ElementPlus Pinia ECharts,https://gitee.com/hepengfei-xy/ai-xhzb-vue-ai3.git,https://gitee.com/hepengfei-xy/ai-xhzb-vue-ai3,hepengfei-xy__ai-xhzb-vue-ai3,星海智伴 养老护理管理系统 — 若依Vue3版养老护理管理系统前端
38,a2131467/ceshi,Gitee,养老院管理系统,0,RuoYi3.8.9 SpringBoot2.5 Vue2 ElementUI,https://gitee.com/a2131467/ceshi.git,https://gitee.com/a2131467/ceshi,a2131467__ceshi,养老院管理系统（若依DEMO+AI助手） — 老人/员工/房间/服务记录管理及AI智能助手
39,Tang1705/Intelligent-Elderly-Care,GitHub,AI 视觉监护/跌倒检测,203,Python,https://github.com/Tang1705/Intelligent-Elderly-Care.git,https://github.com/Tang1705/Intelligent-Elderly-Care,Tang1705__Intelligent-Elderly-Care,基于计算机视觉的智慧养老系统通过（模拟）多组摄像头实时拍摄到的画面，用计算机视觉技术实时分析老人的情感、是否有人摔倒、是否有人闯入禁止区域、老人是否有和义工互动、分析是否有陌生人出现并追踪陌生人。一旦上述事件发生，该事件会立即插入到数据库中。这些事件数据被实时地更新在报表中，管理人员因此可以迅速做出反应，从而可以提高管理人员的服务水平和管理能力。本系统分为2部分，分别是 Web 用户界面和基于计算机视觉的摄像头（群组）。本仓库提供了计算机视觉部分的任务及实现。
40,marspal-ai/smart-elderly-care,GitHub,养老院/机构管理系统,22,,https://github.com/marspal-ai/smart-elderly-care.git,https://github.com/marspal-ai/smart-elderly-care,marspal-ai__smart-elderly-care,智慧养老平台，以科技构建“政府监管、机构运营、社区居家”一体化生态，融合AI与大数据，实现智能服务、精准监管、便捷养老，打造线上线下融合的智慧养老新范式。
41,wwqking/Smart-elderly-care-monitoring-management,GitHub,居家/社区养老平台,6,Vue,https://github.com/wwqking/Smart-elderly-care-monitoring-management.git,https://github.com/wwqking/Smart-elderly-care-monitoring-management,wwqking__Smart-elderly-care-monitoring-management,随着人口老龄化的加剧，养老服务的需求日益增长，传统的养老模式已经难以满足现代社会的需求。为了提供更高效、便捷、个性化的养老服务，我们开发了这个基于 Spring Boot 的社区智慧养老监护管理平台。该平台旨在整合社区养老资源，实现对老年人的全面监护和管理，提升养老服务的质量和水平。
42,rai-end/Smart-Elderly-Care-System,GitHub,AI 视觉监护/跌倒检测,0,Vue,https://github.com/rai-end/Smart-Elderly-Care-System.git,https://github.com/rai-end/Smart-Elderly-Care-System,rai-end__Smart-Elderly-Care-System,本项目为智能老人监护系统，采用前后端分离架构，融合物联网传感与 YOLOv11 轻量化 AI 算法，实时采集心率、血压、血氧等体征数据，识别跌倒、久坐等异常行为，边缘部署可 500ms 内完成风险判断，断网基础功能可用。 前端基于 Vue3+Pinia 搭建，使用 ECharts 可视化数据，通过分级刷新、请求锁、异常熔断优化高并发请求，搭配声光双重预警快速推送险情。系统支持多终端同时在线，全天候监护老人，适配居家、社区养老管理场景。
43,rainweb521/nursingHome,GitHub,养老院/机构管理系统,132,Java,https://github.com/rainweb521/nursingHome.git,https://github.com/rainweb521/nursingHome,rainweb521__nursingHome,智慧养老院系统的设计与实现
44,imfinefku/gerocomium,GitHub,养老院/机构管理系统,4,JavaScript,https://github.com/imfinefku/gerocomium.git,https://github.com/imfinefku/gerocomium,imfinefku__gerocomium,智慧养老院管理系统是一套基于SpringBoot的前后端分离的多角色的养老院系统，分为超级管理员、销售管理员、人事管理员、服务管理员、餐饮管理员、财务管理员，多个角色。 系统管理人员拥有全部功能，并且可以对系统进行整体业务监控。 销售管理员可以对用户的咨询信息进行管理，并且可以对用户的房间预定进行管理。 财务管理员可以对用户的预存充值进行管理，可以查询用户的消费记录，以及对用户的退住申请进行审核。 服务管理员和餐饮管理员可以对养老院的服务项目、护理登记、菜品管理、餐饮套餐、额外点餐、服务预定等进行管理。 人事管理员可以对员工信息以及养老院的长者档案进行管理。 前端使用Vue框架，后端使用SpringBoot框架，数据库使用的是Mysql。 
45,Mratos/nursinghome-vue,GitHub,养老院/机构管理系统,1,Java,https://github.com/Mratos/nursinghome-vue.git,https://github.com/Mratos/nursinghome-vue,Mratos__nursinghome-vue,智慧养老院管理系统 - Vue3 + Spring Boot 毕业设计（家属/管理员双角色权限隔离）
46,zhangsan594226632/Elderly-Care-Management-System,GitHub,养老院/机构管理系统,0,Java,https://github.com/zhangsan594226632/Elderly-Care-Management-System.git,https://github.com/zhangsan594226632/Elderly-Care-Management-System,zhangsan594226632__Elderly-Care-Management-System,【万字文档+源码】基于SpringBoot+Vue养老管理系统-可用于毕设-课程设计-练手学习-学习资料分享-本文介绍了一个基于SpringBoot+Vue的智慧养老管理系统，旨在解决传统养老机构管理效率低下、信息分散的问题。系统分为老人前台和管理员后台两大模块，老人可浏览养老院信息、查看公告、参与论坛交流及管理个人健康档案；管理员则统一管理老人信息、健康数据、饮食安排及论坛内容。技术栈采用SpringBoot+MyBatis-Plus后端和Vue2+ElementUI前端，数据库使用MySQL8.0。系统功能包括健康档案管理、饮食提醒、论坛互动等，通过数字化手段提升养老院管理效率，改善老年人生活质量。数据库设计了
47,small-bears/beadhouse,GitHub,养老院/机构管理系统,109,Vue,https://github.com/small-bears/beadhouse.git,https://github.com/small-bears/beadhouse,small-bears__beadhouse,"养老院管理系统管理系统 java springboot ssm mysql (源代码+数据库+配套论文+ppt)角色：管理员、家属、护工  管理员：管理员进入主页面，主要功能包括对个人中心，家属管理，护工管理，公告通知管理，老人信息管理，床位分配管理，健康信息管理，健康评估管理，膳食管理，事故记录管理，护工请假管理，护工薪资管理，费用信息管理，系统管理等进行操作、Python+Django+Vue,php,Flask,node.js,SSM,JSP,Uniapp,hadoop,spark,hive,ThinkPhp,Flask,Koa,Express,Springcloud,ASP.Net,C#,Mysql,大数据毕业设计,基于微信小程序,Ai对话,协同过滤推荐算法,基于安卓,机器学习,深度"
48,onion119/Elderly_Care_System,GitHub,AI 视觉监护/跌倒检测,0,,https://github.com/onion119/Elderly_Care_System.git,https://github.com/onion119/Elderly_Care_System,onion119__Elderly_Care_System,本作品为独居老人多功能健康监护系统，可实时监测居家环境温湿度、老人心率与血氧状态，精准检测室内烟雾浓度，智能识别跌倒危险情况。系统将各项数据本地实时显示，并通过无线网络上传至手机端，方便家属远程查看老人生活与健康状况。当环境参数、身体指标超出安全范围，或检测到跌倒等紧急情况时，系统立即启动声光报警，并同步推送远程提醒，实现本地与远程双重预警。产品操作简便、运行稳定，能够全天候守护独居老人安全，有效缓解家属监护压力，提升居家养老的安全性与便利性。
49,3188628462-cmd/smart-elderly-platform,GitHub,居家/社区养老平台,1,HTML,https://github.com/3188628462-cmd/smart-elderly-platform.git,https://github.com/3188628462-cmd/smart-elderly-platform,3188628462-cmd__smart-elderly-platform,社区智慧养老服务平台前端原型项目，用于大创项目结题展示与功能演示。
50,QQ767172261/Smart-elderly-carefall-detection-and-alarm-for-the-elderlyintelligent-elderly-care-fall-detection-an,GitHub,AI 视觉监护/跌倒检测,0,,https://github.com/QQ767172261/Smart-elderly-carefall-detection-and-alarm-for-the-elderlyintelligent-elderly-care-fall-detection-an.git,https://github.com/QQ767172261/Smart-elderly-carefall-detection-and-alarm-for-the-elderlyintelligent-elderly-care-fall-detection-an,QQ767172261__Smart-elderly-carefall-detection-and-alarm-for-the-elderlyintelligent-elderly-care-fall-detection-an,智慧养老-老年人跌倒检测报警-基于 Python + Flask + YOLO 的智能养老跌倒检测与监护系统
51,small-bears/yanglaoyuan,GitHub,养老院/机构管理系统,60,Vue,https://github.com/small-bears/yanglaoyuan.git,https://github.com/small-bears/yanglaoyuan,small-bears__yanglaoyuan,"基于SpringBoot Vue养老院管理系统 java毕业设计，基于微信小程序，基于安卓App，机器学习，大数据毕业设计，Python+Django+Vue ，php ，node.js ，SpringBoot Vue，SSM，JSP ，Uniapp，hadoop和spark框架，hive框架，koa，go，springcloud,lavarel 角色：管理员、前台家属、护工  管理员：管理员进入系统主页面，主要功能包括对首页、护工、家属、床位、老人入住、健康档案、体检记录、用药情况、外出报备、药品信息、退房登记、费用缴纳、护理记录、每日餐饮、事故记录等进行操作。  前台家属：当用户打开系统的网址后，首先看到的就是首页界面。"
52,shuangyulin/springboot160_zihuiyanglao,GitHub,居家/社区养老平台,1,Vue,https://github.com/shuangyulin/springboot160_zihuiyanglao.git,https://github.com/shuangyulin/springboot160_zihuiyanglao,shuangyulin__springboot160_zihuiyanglao,springboot160基于Springboot+Vue社区智慧养老监护管理平台-毕业源码案例设计
53,venti-klee/elder-ease,GitHub,养老院/机构管理系统,0,Vue,https://github.com/venti-klee/elder-ease.git,https://github.com/venti-klee/elder-ease,venti-klee__elder-ease,ElderEase — 基于 Vue 3 的智慧养老管理系统
54,wwqking/Community-Elderly-Care-Service-Platform,GitHub,养老院/机构管理系统,12,Vue,https://github.com/wwqking/Community-Elderly-Care-Service-Platform.git,https://github.com/wwqking/Community-Elderly-Care-Service-Platform,wwqking__Community-Elderly-Care-Service-Platform,随着人口老龄化的加剧，养老问题成为社会关注的焦点。传统的养老模式难以满足日益多样化和个性化的养老需求，社区养老作为一种新兴的养老方式，逐渐受到青睐。然而，社区养老服务在实施过程中面临着信息不畅通、服务资源分配不均、管理效率低下等问题。 本基于 Spring Boot 的社区养老服务平台旨在构建一个信息化、智能化的社区养老服务体系，整合社区内的养老资源，提高服务质量和管理效率，为老年人提供更加便捷、高效、贴心的养老服务。
55,XueX258000/Intelligent-Emotional-Interaction-Assistant-for-the-Elderly,GitHub,AI 陪伴/对话,3,C++,https://github.com/XueX258000/Intelligent-Emotional-Interaction-Assistant-for-the-Elderly.git,https://github.com/XueX258000/Intelligent-Emotional-Interaction-Assistant-for-the-Elderly,XueX258000__Intelligent-Emotional-Interaction-Assistant-for-the-Elderly,老年人智能情感交互助手是一个面向智慧养老场景的陪伴机器人项目，核心目标是提升老年人的情感陪护体验和日常交互便利性。项目基于 Jetson Orin NX + STM32 硬件架构，结合 ROS2 完成多模块系统集成，融合了 本地语音识别、TTS、端侧轻量化大语言模型、多轮上下文对话、表情识别、自主导航与路径规划 等能力。机器人能够通过语音理解用户指令，结合表情与语义判断用户情绪，并生成更具情感化的回复；同时支持基于 Cartographer + 改进 A + TEB* 的室内建图、自主导航与动态避障。
56,767172261/Fall-recognition-and-fall-detection-based-on-deep-learning-Intelligent-monitoring-smart-elderly-care,GitHub,AI 视觉监护/跌倒检测,0,,https://github.com/767172261/Fall-recognition-and-fall-detection-based-on-deep-learning-Intelligent-monitoring-smart-elderly-care.git,https://github.com/767172261/Fall-recognition-and-fall-detection-based-on-deep-learning-Intelligent-monitoring-smart-elderly-care,767172261__Fall-recognition-and-fall-detection-based-on-deep-learning-Intelligent-monitoring-smart-elderly-care,基于深度学习的摔倒识别与跌倒检测 智能监控智慧养老行为检测  yolov8智能AI监控跌倒检测 opencv+yolo智能安防
57,telawang91-dotcom/elderly-health-management,GitHub,养老院/机构管理系统,5,,https://github.com/telawang91-dotcom/elderly-health-management.git,https://github.com/telawang91-dotcom/elderly-health-management,telawang91-dotcom__elderly-health-management,AI赋能的智慧养老健康管理系统
58,adpanru/smart-elderly-care,GitHub,移动端/小程序/适老化前端,5,CSS,https://github.com/adpanru/smart-elderly-care.git,https://github.com/adpanru/smart-elderly-care,adpanru__smart-elderly-care,后端：SpringBoot+mybatis 前端：html+css+js 智慧养老平台 实现了智能检测身体健康标准，看板汇总健康指标，线上聊天等功能
59,wangtianrui/OldPeopleHome,GitHub,养老院/机构管理系统,83,C,https://github.com/wangtianrui/OldPeopleHome.git,https://github.com/wangtianrui/OldPeopleHome,wangtianrui__OldPeopleHome,:fire:智能养老院项目
60,b912232471-droid/Smart-Senior-Care-Cente,GitHub,养老院/机构管理系统,2,Vue,https://github.com/b912232471-droid/Smart-Senior-Care-Cente.git,https://github.com/b912232471-droid/Smart-Senior-Care-Cente,b912232471-droid__Smart-Senior-Care-Cente,基于spring boot + Vue3开发的智慧养老院管理系统
61,Lee401127/Smart-Elderly-Care-Monitoring-System,GitHub,居家/社区养老平台,0,C++,https://github.com/Lee401127/Smart-Elderly-Care-Monitoring-System.git,https://github.com/Lee401127/Smart-Elderly-Care-Monitoring-System,Lee401127__Smart-Elderly-Care-Monitoring-System,基于qt采用opencv实现的跨平台Linux居家养老智能监护系统
62,sjr666666/ai-elderly-health-assistant,GitHub,健康监护/体征监测,6,Java,https://github.com/sjr666666/ai-elderly-health-assistant.git,https://github.com/sjr666666/ai-elderly-health-assistant,sjr666666__ai-elderly-health-assistant,专为老年人设计的智能用药安全与健康管理应用 | 用药冲突检测 · AI健康咨询 · 服药提醒 · 家属远程监护
63,small-bears/beadhouses,GitHub,养老院/机构管理系统,62,Vue,https://github.com/small-bears/beadhouses.git,https://github.com/small-bears/beadhouses,small-bears__beadhouses,"养老院管理系统 (源代码+数据库+配套论文+ppt)老人管理系统 角色：管理员、用户、护工  管理员：管理员进入主页面，主要功能包括对用户、护工、健康科普、健康数据、养老院、入住预约、寝室分配、退住信息、病历档案、外出申请、来访登记、护工工资、药品信息、系统管理、用户信息等进行操作。Python+Django+Vue,php,Flask,node.js,SSM,JSP,Uniapp,hadoop,spark,hive,ThinkPhp,Flask,Koa,Express,Springcloud,ASP.Net,C#,Mysql,大数据毕业设计,基于微信小程序,Ai对话,协同过滤推荐算法,基于安卓,机器学习,深度学习,  "
64,sbgumen/zhihui-yiyang,GitHub,AI 陪伴/对话,1,TypeScript,https://github.com/sbgumen/zhihui-yiyang.git,https://github.com/sbgumen/zhihui-yiyang,sbgumen__zhihui-yiyang,让科技有温度，让养老有尊严 — 面向老年人的智慧养老综合服务平台。融合AI绘画、VR怀旧、认知训练游戏、健康监测、智慧助餐、方言展馆、音乐播放等功能。
65,liubaijiangde-bot/26-wkyl-elderly-care,GitHub,养老院/机构管理系统,1,Java,https://github.com/liubaijiangde-bot/26-wkyl-elderly-care.git,https://github.com/liubaijiangde-bot/26-wkyl-elderly-care,liubaijiangde-bot__26-wkyl-elderly-care,面向养老机构的数字化运营管理系统。机构管理员通过 Web 管理端完成楼层/房间/床位配置、老人档案与入住管理、护理等级/计划/项目/任务编排、智能设备报警处理；老人家属通过微信小程序完成预约参观、服务下单、账单查询、健康数据查看与家属绑定。
66,nature924/No100Smart-Elderly-Care-Center-Management-System,GitHub,养老院/机构管理系统,28,Java,https://github.com/nature924/No100Smart-Elderly-Care-Center-Management-System.git,https://github.com/nature924/No100Smart-Elderly-Care-Center-Management-System,nature924__No100Smart-Elderly-Care-Center-Management-System,基于Springboot框架实现的智慧养老中心管理系统，编程语言:Java ；数据库:MySQL；项目管理工具:Maven 前端技术:VUE、javascript、html、css、jQuery； 后端技术:Spring、SpringMvc、MyBatis，系统包含两种角色：管理员、用户
67,lizheznr/zhihuiyanglaoshequpingtai,GitHub,养老院/机构管理系统,33,HTML,https://github.com/lizheznr/zhihuiyanglaoshequpingtai.git,https://github.com/lizheznr/zhihuiyanglaoshequpingtai,lizheznr__zhihuiyanglaoshequpingtai,智慧养老社区平台后台管理系统
68,Fankekeke/elderly_care_service_cos,GitHub,居家/社区养老平台,11,Vue,https://github.com/Fankekeke/elderly_care_service_cos.git,https://github.com/Fankekeke/elderly_care_service_cos,Fankekeke__elderly_care_service_cos,基于Springboot与Vue的智慧互助养老服务平台、社区养老互助系统、居家养老服务平台。 管理员：用户管理、公告管理、社区交流、敏感词管理、模块管理、消息回复内容管理、社区新闻、留言板信息、首页图片管理、报警处理、帮助服务信息、积分物品上架、志愿者积分兑换、健康记录、健身养生课程 志愿者：账户注册、账户登录、个人信息、密码修改、积分物品兑换、我的兑换记录、我的接单、服务看板 用户：小程序账户注册登录、个人信息修改、社区交流、我的贴子、发布贴子、健康记录、健康养生观看、发布报警信息、发布服务内容、消息内容回复
69,Jilaoda/nursing-home,GitHub,养老院/机构管理系统,0,,https://github.com/Jilaoda/nursing-home.git,https://github.com/Jilaoda/nursing-home,Jilaoda__nursing-home,基于Springboot+Vue的智慧养老服务管理系统，养老院、养老、智慧养老
